"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"J3";"Transmitter433MHz";1;"Transmitter433MHz";;;
2;"D2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1n4001";;;
3;"D1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"LED";;;
4;"IC1";"DS18B20";1;"DS18B20";;;
5;"J1";"KHTaster";1;"KHTaster";;;
6;"J2";"PIEZZO";1;"myPiezzo";;;
7;"J4";"HC-06";1;"HC-06";;;
8;"P1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"Power 9V";;;
9;"P2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical";1;"Switch";;;
10;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"330";;;
11;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"47K";;;
12;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"150K";;;
13;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4,7K";;;
14;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1K";;;
15;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2K";;;
16;"U1";"arduino_mini";1;"arduino_nano";;;
